case,curve,time_h_from_rainfall_onset,value,unit,y_axis,absolute_time,relative_displacement_mm,main_damage_core_size_voxels
S1,blue_surface_displacement,0.204444,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.205556,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.206667,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.207778,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.208889,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.21,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.211111,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.212222,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.213333,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.214444,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.215556,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.216667,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.217778,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.218889,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.22,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.221111,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.222222,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.223333,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.224444,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.225556,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.226667,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.227778,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.228889,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.23,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.231111,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.232222,-0.2,mm,left_mm,2025-7-7 14:13,-0.2,
S1,blue_surface_displacement,0.233333,-0.2,mm,left_mm,2025-7-7 14:14,-0.2,
S1,blue_surface_displacement,0.234444,-0.2,mm,left_mm,2025-7-7 14:14,-0.2,
S1,blue_surface_displacement,0.235556,-0.2,mm,left_mm,2025-7-7 14:14,-0.2,
S1,blue_surface_displacement,0.236667,-0.2,mm,left_mm,2025-7-7 14:14,-0.2,
S1,blue_surface_displacement,0.237778,-0.2,mm,left_mm,2025-7-7 14:14,-0.2,
S1,blue_surface_displacement,0.238889,-0.2,mm,left_mm,2025-7-7 14:14,-0.2,
S1,blue_surface_displacement,0.24,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.241111,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.242222,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.243333,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.244444,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.245556,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.246667,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.247778,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.248889,0,mm,left_mm,2025-7-7 14:14,0,
S1,blue_surface_displacement,0.25,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.251111,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.252222,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.253333,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.254444,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.255556,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.256667,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.257778,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.258889,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.26,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.261111,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.262222,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.263333,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.264444,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.265556,0,mm,left_mm,2025-7-7 14:15,0,
S1,blue_surface_displacement,0.266667,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.267778,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.268889,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.27,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.271111,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.272222,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.273333,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.274444,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.275556,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.276667,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.277778,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.278889,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.28,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.281111,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.282222,0,mm,left_mm,2025-7-7 14:16,0,
S1,blue_surface_displacement,0.283333,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.284444,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.285556,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.286667,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.287778,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.288889,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.29,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.291111,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.292222,0,mm,left_mm,2025-7-7 14:17,0,
S1,blue_surface_displacement,0.293333,0,mm,left_mm,2025-7-7 14:17,0,
