MS-0.25m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2
27.60108,0,36.89998,0.00391
27.60108,0,36.89998,0.00401
27.49959,0,37.00208,0.00402
27.60108,0,37.00208,0.00402
27.49959,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.60108,0,36.89998,0.00402
27.60108,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.60108,0,37.00208,0.00402
27.49959,0,36.89998,0.00402
27.49959,0,37.00208,0.00402
27.60108,0,36.89998,0.00402
27.60108,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.49959,0,36.79816,0.00402
27.49959,0,37.00208,0.00402
27.49959,0,36.89998,0.00402
27.60108,0,36.89998,0.00402
27.49959,0,36.89998,0.00402
27.60108,0,37.00208,0.00402
27.49959,0,36.89998,0.00403
27.49959,0,37.00208,0.00403
27.49959,0,36.89998,0.00405
27.49959,0,37.00208,0.00405
27.49959,0,37.00208,0.00405
27.60108,0,36.89998,0.00405
27.39846,0,36.89998,0.00405
27.49959,0,36.89998,0.00405
27.49959,0,37.00208,0.00405
27.49959,0,37.00208,0.00405
27.49959,0,37.00208,0.00405
27.49959,0,36.89998,0.00405
27.60108,0,36.89998,0.00405
27.49959,0,37.00208,0.00405
27.60108,0,37.00208,0.00405
27.49959,0,37.00208,0.00405
27.49959,0,36.89998,0.00405
27.49959,0,36.89998,0.00406
27.49959,0,36.89998,0.00406
27.60108,0,37.00208,0.00406
27.60108,0,37.00208,0.00406
27.49959,0,36.89998,0.00406
27.60108,0,36.89998,0.00406
