Time,Ch240-242,Ch245-247,Ch250-252,Ch255-257
11:39.5,0.000279843,0.000137399,1.8023617e-05,-0.000831792
11:40.5,0.000271277,0.000157482,1.4959695e-05,-0.000837094
11:41.5,0.000262054,0.000172235,1.3245161e-05,-0.000836345
11:42.5,0.000252544,0.000180601,1.20342465e-05,-0.000829079
11:43.5,0.000243473,0.000183451,9.76369e-06,-0.000816967
11:44.5,0.000236326,0.000182646,4.7786143e-06,-0.000802324
11:45.5,0.000231925,0.000179398,-0.00000271,-0.000786864
11:46.5,0.000230126,0.00017484,-0.000011,-0.000772534
11:47.5,0.000230668,0.000170041,-0.0000183,-0.000760531
11:48.5,0.000233688,0.000165804,-0.0000239,-0.000750803
11:49.5,0.000239074,0.000162034,-0.0000284,-0.000744411
11:50.5,0.000245267,0.000158162,-0.0000329,-0.000744847
11:51.5,0.000249582,0.00015407,-0.0000385,-0.000755785
11:52.5,0.000250127,0.000150073,-0.0000452,-0.000776287
11:53.5,0.000245936,0.000146815,-0.0000524,-0.000798896
11:54.5,0.00023716,0.000143898,-0.0000595,-0.000814773
11:55.5,0.000225923,0.000140624,-0.0000658,-0.000820222
11:56.5,0.00021489,0.000137448,-0.0000706,-0.000817112
11:57.5,0.000206103,0.000134338,-0.0000746,-0.000808701
11:58.5,0.000200181,0.000131732,-0.0000782,-0.000797607
11:59.5,0.000196652,0.000131277,-0.0000813,-0.000785721
12:00.5,0.000195311,0.000134208,-0.0000845,-0.000773936
12:01.5,0.000196001,0.000139309,-0.0000894,-0.000763496
12:02.5,0.000198391,0.000144398,-0.0000982,-0.00075673
12:03.5,0.000201575,0.000149046,-0.000111547,-0.000755398
12:04.5,0.00020403,0.000154521,-0.000126982,-0.000758989
12:05.5,0.000205173,0.000161521,-0.000140746,-0.000766834
12:06.5,0.000205277,0.000169685,-0.000149772,-0.000778352
12:07.5,0.000204073,0.000179343,-0.000153257,-0.000791846
12:08.5,0.000200076,0.000190978,-0.000153096,-0.000803411
12:09.5,0.000193126,0.000203338,-0.00015269,-0.00080952
12:10.5,0.000185392,0.00021496,-0.00015546,-0.000808718
12:11.5,0.000179339,0.000225873,-0.000164403,-0.000801364
12:12.5,0.000175811,0.000236622,-0.000180839,-0.000788947
12:13.5,0.000173953,0.000246446,-0.000204223,-0.000772774
12:14.5,0.000171749,0.000255066,-0.000231324,-0.000754527
12:15.5,0.000167856,0.000263946,-0.000257838,-0.000737016
12:16.5,0.000162872,0.00027391,-0.000279903,-0.000723489
12:17.5,0.000158647,0.000284467,-0.000295576,-0.000716424
12:18.5,0.000157123,0.000294349,-0.000304587,-0.000716579
12:19.5,0.000159325,0.000300528,-0.00030847,-0.000722074
12:20.5,0.000165107,0.000300764,-0.00030969,-0.000729305
12:21.5,0.00017307,0.000295478,-0.000310465,-0.000735448
12:22.5,0.000180871,0.000287089,-0.000313749,-0.000739399
12:23.5,0.000186669,0.000277942,-0.000321205,-0.000739999
12:24.5,0.000190251,0.0002698,-0.000331808,-0.000737022
12:25.5,0.000192582,0.000263248,-0.000342939,-0.000732342
12:26.5,0.000193717,0.000257601,-0.000352354,-0.000728009
12:27.5,0.000192637,0.000250516,-0.00035957,-0.000725127
12:28.5,0.000188882,0.00024025,-0.000365149,-0.000723902
12:29.5,0.000182852,0.000227573,-0.000370008,-0.000722597
12:30.4,0.000175689,0.00021493,-0.000374428,-0.000719391
12:31.4,0.000169129,0.000204836,-0.000376975,-0.00071344
12:32.4,0.000164387,0.000198392,-0.000375746,-0.000704974
12:33.4,0.000161478,0.000195527,-0.000369528,-0.000697122
12:34.4,0.000159777,0.000195258,-0.000358382,-0.000695077
12:35.4,0.000158588,0.000195973,-0.000343646,-0.000700375
12:36.4,0.000156901,0.000195559,-0.000327987,-0.000710921
12:37.4,0.000153636,0.000192407,-0.000313896,-0.000723763
12:38.4,0.00014817,0.000186069,-0.00030296,-0.000736366
12:39.4,0.000140692,0.000176799,-0.000294211,-0.000747185
12:40.4,0.000131965,0.000166056,-0.00028511,-0.000755947
12:41.4,0.000123059,0.000155087,-0.000275847,-0.000763045
12:42.4,0.00011486,0.000143733,-0.000268741,-0.000769338
12:43.4,0.000108313,0.000130497,-0.000265171,-0.00077543
12:44.4,0.000104165,0.000114328,-0.000265307,-0.000781457
12:45.4,0.00010295,9.596151e-05,-0.000267765,-0.000788071
12:46.4,0.000104685,7.7527955e-05,-0.000270138,-0.00079585
12:47.4,0.000108535,6.2067265e-05,-0.000271108,-0.000804086
12:48.4,0.000113873,5.118302e-05,-0.000270699,-0.000810884
12:49.4,0.000121259,4.387769e-05,-0.000269794,-0.000814281
12:50.4,0.000130958,3.8764967e-05,-0.000268864,-0.000813094
12:51.4,0.000142325,3.5408077e-05,-0.00026767,-0.000808617
12:52.4,0.00015436,3.3112898e-05,-0.000266485,-0.00080347
12:53.4,0.000165946,3.1352574e-05,-0.000266143,-0.000799471
12:54.4,0.000175385,2.975032e-05,-0.000266555,-0.000799803
12:55.4,0.000181695,2.7670496e-05,-0.000266805,-0.000807072
12:56.4,0.000185216,2.5226253e-05,-0.000266999,-0.000820345
12:57.4,0.000186961,2.270481e-05,-0.000269085,-0.000836599
12:58.4,0.000188037,1.9467221e-05,-0.000274076,-0.000852449
12:59.4,0.000188856,1.4678598e-05,-0.000281167,-0.000865244
